iter	Passed	Remaining
0	0	90
1	0	75
2	0	74
3	1	74
4	1	72
5	1	71
6	1	69
7	2	68
8	2	67
9	2	70
10	3	71
11	3	73
12	3	72
13	4	70
14	4	68
15	4	68
16	5	68
17	5	67
18	5	66
19	5	66
20	6	65
21	6	64
22	6	63
23	6	63
24	6	62
25	7	62
26	7	62
27	7	61
28	8	61
29	8	61
30	8	61
31	9	61
32	9	62
33	9	61
34	10	61
35	10	61
36	10	60
37	10	60
38	11	60
39	11	59
40	11	59
41	11	58
42	12	58
43	12	58
44	12	57
45	12	57
46	13	57
47	13	56
48	13	56
49	14	56
50	14	56
51	14	56
52	15	56
53	15	56
54	15	56
55	16	55
56	16	55
57	16	54
58	16	54
59	17	54
60	17	53
61	17	53
62	17	53
63	18	52
64	18	52
65	18	52
66	19	52
67	19	51
68	19	51
69	19	51
70	20	51
71	20	50
72	20	50
73	21	50
74	21	50
75	21	50
76	22	49
77	22	49
78	22	49
79	22	48
80	23	48
81	23	48
82	23	48
83	24	47
84	24	47
85	24	47
86	24	46
87	25	46
88	25	46
89	25	45
90	26	45
91	26	45
92	26	45
93	27	44
94	27	44
95	27	44
96	28	44
97	28	43
98	28	43
99	29	43
100	29	43
101	29	42
102	29	42
103	30	42
104	30	41
105	30	41
106	30	41
107	31	41
108	31	41
109	32	40
110	32	40
111	32	40
112	32	39
113	33	39
114	33	39
115	33	39
116	34	38
117	34	38
118	34	38
119	34	37
120	35	37
121	35	37
122	35	36
123	36	36
124	36	36
125	36	35
126	36	35
127	36	35
128	37	34
129	38	35
130	38	35
131	38	34
132	39	34
133	39	34
134	39	33
135	39	33
136	40	33
137	40	32
138	40	32
139	41	32
140	41	31
141	41	31
142	41	31
143	41	30
144	42	30
145	42	30
146	42	29
147	42	29
148	43	29
149	44	29
150	44	29
151	44	28
152	45	28
153	45	28
154	45	27
155	45	27
156	46	27
157	46	26
158	46	26
159	46	26
160	47	26
161	47	25
162	47	25
163	47	25
164	48	24
165	48	24
166	48	24
167	49	24
168	49	23
169	50	23
170	50	23
171	50	23
172	51	22
173	51	22
174	51	22
175	51	21
176	52	21
177	52	21
178	52	20
179	52	20
180	53	20
181	53	19
182	53	19
183	53	19
184	54	18
185	54	18
186	54	18
187	55	18
188	55	17
189	55	17
190	56	17
191	56	17
192	56	16
193	57	16
194	57	16
195	57	15
196	57	15
197	57	15
198	58	14
199	58	14
200	58	14
201	59	14
202	59	13
203	59	13
204	59	13
205	60	12
206	60	12
207	60	12
208	61	12
209	61	11
210	61	11
211	62	11
212	62	10
213	62	10
214	62	10
215	63	9
216	63	9
217	63	9
218	63	9
219	64	8
220	64	8
221	64	8
222	64	7
223	64	7
224	65	7
225	65	6
226	65	6
227	65	6
228	66	6
229	66	5
230	66	5
231	67	5
232	67	4
233	68	4
234	68	4
235	68	4
236	68	3
237	68	3
238	69	3
239	69	2
240	69	2
241	69	2
242	70	2
243	70	1
244	70	1
245	70	1
246	71	0
247	71	0
248	71	0
249	71	0
