,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,30.3,47.0,6.0,0.5,9.0,0.0,0,25,92,232
1,37.7,65.0,5.0,0.41,5.0,0.0,0,25,93,272
2,50.9,78.0,9.0,0.29,2.0,0.0,0,25,94,248
3,45.1,66.0,9.0,0.38,2.0,0.34,0,25,93,269
4,38.1,59.0,6.0,0.31,7.11,0.0,0,25,93,272
5,36.0,50.0,16.56,0.41,4.0,0.0,0,24,94,260
6,36.0,52.0,2.0,0.43,5.0,0.0,0,25,94,244
7,34.9,58.0,4.0,0.5,6.0,0.0,0,25,92,313
8,30.4,52.0,16.0,0.28,4.0,0.0,0,29,78,114
9,25.8,54.0,21.0,0.19,3.0,0.0,1,30,72,145
10,19.7,44.0,23.0,0.18,3.0,0.0,1,31,67,107
11,14.1,41.0,27.0,0.18,3.0,0.0,1,32,60,91
12,10.2,35.0,28.0,0.17,2.0,0.0,1,32,60,91
13,7.4,30.0,26.0,0.17,2.0,0.0,1,32,61,90
14,5.5,36.0,24.0,0.17,3.0,1.0,1,32,61,115
15,4.2,28.0,24.0,0.16,2.0,0.0,1,31,63,138
16,3.4,24.0,23.0,0.18,4.0,1.0,1,31,64,130
17,2.9,30.0,20.0,0.23,6.0,1.0,1,30,70,128
18,8.0,38.0,15.0,0.25,8.0,0.0,1,28,79,137
19,7.4,37.0,13.0,0.33,10.0,0.0,0,27,81,140
20,13.3,34.0,4.0,0.44,10.0,0.0,0,26,89,265
21,17.9,38.0,5.0,0.41,10.0,0.0,0,26,89,292
22,24.6,49.0,6.0,0.38,7.0,0.0,0,26,90,244
23,33.4,65.0,5.0,0.33,5.0,0.0,0,25,91,290
24,35.9,75.0,4.0,0.35,5.0,0.0,0,25,93,267
25,30.7,63.0,1.0,0.37,4.0,0.0,0,25,93,252
26,27.8,59.0,2.0,0.38,3.0,0.34,0,24,94,244
27,25.4,52.0,2.0,0.33,7.11,0.0,0,24,93,328
28,22.7,44.0,16.56,0.35,5.0,0.0,0,24,94,260
29,16.4,40.0,1.0,0.35,5.0,0.0,0,24,94,262
30,12.4,39.0,1.0,0.5,6.0,0.0,0,24,94,255
31,16.5,58.0,1.0,0.66,11.0,0.0,0,25,91,258
32,13.6,47.0,6.0,0.43,8.0,0.0,0,27,83,285
33,9.9,45.0,21.0,0.22,4.0,0.0,1,30,69,161
34,7.2,42.0,27.0,0.21,3.0,0.0,1,31,64,121
35,5.3,42.0,27.0,0.21,3.0,0.0,1,32,62,116
36,4.1,32.0,32.0,0.19,2.0,0.0,2,33,55,76
37,3.3,30.0,32.0,0.25,3.0,0.0,1,33,54,84
38,3.8,26.0,30.0,0.24,3.0,0.0,2,33,55,77
39,5.4,35.0,29.0,0.22,5.0,0.0,1,33,54,85
40,4.1,30.0,27.0,0.28,9.0,0.0,1,33,56,85
41,5.9,37.0,27.0,0.31,7.0,0.0,1,31,61,76
42,7.9,42.0,21.0,0.32,8.0,0.0,1,29,72,132
43,9.4,43.0,18.0,0.38,12.0,0.0,0,28,75,121
44,15.6,34.0,17.0,0.38,11.0,0.0,0,27,80,145
45,20.2,41.0,6.0,0.5,11.0,0.0,0,26,87,227
46,21.3,44.0,6.0,0.51,9.0,0.0,0,26,88,243
47,23.9,49.0,4.0,0.49,7.0,0.0,0,26,90,241
48,24.7,47.0,5.0,0.41,5.0,0.0,0,25,91,283
49,22.2,44.0,4.0,0.38,3.0,0.34,0,25,92,222
50,25.4,51.0,5.0,0.33,7.11,0.0,0,24,93,225
51,22.3,43.0,16.56,0.31,3.0,0.0,0,24,93,272
52,20.9,44.0,4.0,0.33,4.0,0.0,0,24,93,311
53,13.7,42.0,2.0,0.37,4.0,0.0,0,24,93,250
54,12.4,41.0,1.0,0.49,6.0,0.0,0,24,93,282
